Test Method,Test Method,,
Sample I. D.,Material and Date,,
Specimen Number,1,,
,,,
Time (min),Load (N),% Compression (%),Crosshead (mil)
,,,
0.201,191.627,196.063,-0.9606
0.201,191.741,196.457,-0.9646
0.202,192.6,196.457,-0.9646
0.202,193.319,196.85,-0.9685
0.202,193.774,197.244,-0.9724
0.203,194.237,197.638,-0.9764
0.203,194.597,198.032,-0.9803
0.203,195.102,198.425,-0.9843
0.204,195.563,198.425,-0.9843
0.204,196.383,198.819,-0.9882
0.204,196.939,199.213,-0.9921
0.205,197.215,199.606,-0.9961
0.205,197.634,200,-1
0.205,197.996,200.394,-1.0039
0.206,198.641,200.394,-1.0039
0.206,199.314,200.787,-1.0079
0.206,199.59,201.181,-1.0118
0.207,200.204,201.575,-1.0157
0.207,200.483,201.969,-1.0197
0.207,200.911,202.362,-1.0236
0.208,201.588,202.362,-1.0236
0.208,201.979,202.756,-1.0276
0.208,202.59,203.15,-1.0315
0.209,202.943,203.543,-1.0354
0.209,203.351,203.937,-1.0394
0.209,203.759,204.331,-1.0433
0.21,204.164,204.331,-1.0433
0.21,204.799,204.724,-1.0472
0.21,205.279,205.118,-1.0512
0.211,205.836,205.512,-1.0551
0.211,206.04,205.906,-1.0591
0.211,206.376,206.299,-1.063
0.212,206.785,206.299,-1.063
0.212,207.396,206.693,-1.0669
0.212,207.955,207.087,-1.0709
0.213,208.314,207.48,-1.0748
0.213,208.68,207.874,-1.0787
0.213,209.02,208.268,-1.0827
0.214,209.31,208.661,-1.0866
0.214,209.894,208.661,-1.0866
0.214,210.388,209.055,-1.0906
0.215,210.847,209.449,-1.0945
0.215,211.205,209.843,-1.0984
0.215,211.457,210.236,-1.1024
0.216,211.883,210.63,-1.1063
0.216,212.223,210.63,-1.1063
0.216,212.926,211.024,-1.1102
0.217,213.358,211.417,-1.1142
0.217,213.83,211.811,-1.1181
0.217,213.994,212.205,-1.122
0.218,214.257,212.598,-1.126
0.218,214.718,212.598,-1.126
0.218,215.395,212.992,-1.1299
0.219,215.807,213.386,-1.1339
0.219,216.145,213.78,-1.1378
0.219,216.421,214.173,-1.1417
0.22,216.717,214.567,-1.1457
0.22,217.29,214.567,-1.1457
0.22,217.851,214.961,-1.1496
0.221,218.258,215.354,-1.1535
0.221,218.524,215.748,-1.1575
0.221,218.782,216.142,-1.1614
0.222,219.268,216.142,-1.1614
0.222,219.788,216.535,-1.1654
0.222,220.144,216.929,-1.1693
0.223,220.613,217.323,-1.1732
0.223,220.757,217.717,-1.1772
0.223,221.174,218.11,-1.1811
0.224,221.558,218.11,-1.1811
0.224,222.058,218.504,-1.185
0.224,222.581,218.898,-1.189
0.225,222.749,219.291,-1.1929
0.225,223.056,219.685,-1.1969
0.225,223.419,220.079,-1.2008
0.226,223.869,220.079,-1.2008
0.226,224.46,220.473,-1.2047
0.226,224.801,220.866,-1.2087
0.227,225.043,221.26,-1.2126
0.227,225.383,221.654,-1.2165
0.227,225.674,221.654,-1.2165
0.228,226.323,222.047,-1.2205
0.228,226.732,222.441,-1.2244
0.228,226.988,222.835,-1.2283
0.229,227.236,223.228,-1.2323
0.229,227.624,223.228,-1.2323
0.229,228.118,223.622,-1.2362
0.23,228.659,223.622,-1.2362
0.23,229.776,224.41,-1.2441
0.23,229.679,224.803,-1.248
0.231,229.67,225.197,-1.252
0.231,230.179,225.197,-1.252
0.231,230.707,225.591,-1.2559
0.232,231.044,225.984,-1.2598
0.232,231.247,226.378,-1.2638
0.232,231.363,226.772,-1.2677
0.233,231.838,226.772,-1.2677
0.233,232.451,227.165,-1.2717
0.233,233.001,227.559,-1.2756
0.234,233.234,227.953,-1.2795
0.234,233.452,228.347,-1.2835
0.234,233.739,228.74,-1.2874
0.235,234.213,228.74,-1.2874
0.235,234.841,229.134,-1.2913
0.235,235.149,229.528,-1.2953
0.236,235.564,229.921,-1.2992
0.236,235.668,230.315,-1.3032
0.236,236.256,230.709,-1.3071
0.237,236.68,230.709,-1.3071
0.237,237.139,231.102,-1.311
0.237,237.71,231.496,-1.315
0.238,237.908,231.89,-1.3189
0.238,238.219,232.284,-1.3228
0.238,238.575,232.677,-1.3268
0.239,238.753,233.071,-1.3307
0.239,239.36,233.071,-1.3307
0.239,239.795,233.465,-1.3346
0.24,240.343,233.858,-1.3386
0.24,240.724,234.252,-1.3425
0.24,241.039,234.646,-1.3465
0.241,241.299,235.039,-1.3504
0.241,241.643,235.433,-1.3543
0.241,242.204,235.827,-1.3583
0.242,242.434,235.827,-1.3583
0.242,243.011,236.221,-1.3622
0.242,243.533,236.614,-1.3661
0.243,244.004,237.008,-1.3701
0.243,244.234,237.402,-1.374
0.243,244.506,237.795,-1.378
0.244,244.909,238.189,-1.3819
